record_id,zone,crop,growth_stage,soil_moisture_pct,nitrogen_mg_kg,phosphorus_mg_kg,potassium_mg_kg,soil_ph,temperature_c,humidity_pct,rainfall_mm,wind_speed_kmh,solar_radiation_wm2,water_required_mm,fertilizer_required_kg_ha,irrigation_status,nutrient_status
32,B,Potato,Flowering,50.2,116.03,27.8,80.93,5.55,24.34,43.7,5.87,2.18,888.23,32.41,53.45,High Need,Moderate
33,D,Rice,Flowering,25.27,45.37,64.08,31.59,6.03,35.4,68.28,35.93,15.8,468.05,36.55,73.54,High Need,High
34,D,Wheat,Vegetative,52.62,107.5,28.58,49.15,6.09,21.5,75.71,50.8,18.05,241.8,0.0,56.2,No/Low Need,Moderate
35,F,Wheat,Vegetative,58.33,112.41,24.61,116.88,7.54,23.55,48.77,15.25,8.4,748.32,16.28,49.73,Moderate Need,Moderate
36,F,Rice,Seedling,40.39,87.04,76.1,51.94,7.13,35.27,65.74,46.24,21.49,286.28,12.7,51.74,Moderate Need,Moderate
37,F,Tomato,Vegetative,49.06,113.13,11.35,29.33,7.73,27.54,89.68,42.69,11.87,222.0,3.84,63.16,No/Low Need,High
38,C,Rice,Flowering,39.38,59.79,77.58,90.76,6.76,22.43,65.73,16.66,24.96,578.44,30.48,58.55,High Need,Moderate
39,D,Maize,Maturity,65.65,115.3,20.45,93.4,5.83,32.32,44.44,11.3,1.01,670.77,16.7,49.4,Moderate Need,Moderate
40,D,Potato,Flowering,41.87,90.28,67.36,48.55,6.05,34.12,72.67,60.72,3.63,584.13,13.73,56.46,Moderate Need,Moderate
41,A,Maize,Vegetative,62.51,24.2,29.31,49.77,6.03,20.75,70.53,25.81,8.24,658.03,7.65,82.89,No/Low Need,High
42,C,Potato,Maturity,60.08,110.69,34.55,66.89,6.05,24.09,36.62,19.52,1.61,198.2,7.94,50.63,No/Low Need,Moderate
43,E,Rice,Flowering,36.63,68.45,25.17,22.18,6.95,22.87,40.44,59.03,19.78,504.62,16.81,74.2,Moderate Need,High
44,C,Wheat,Maturity,25.81,66.03,50.99,98.93,6.58,26.36,44.41,58.89,2.27,403.47,11.43,56.64,No/Low Need,Moderate
45,E,Rice,Flowering,36.36,76.65,34.37,51.71,6.2,34.8,43.18,22.11,18.98,927.36,49.49,65.78,High Need,High
46,A,Maize,Vegetative,61.57,34.94,56.02,105.38,5.59,33.7,50.57,69.81,2.26,142.18,0.0,69.73,No/Low Need,High
47,B,Potato,Seedling,25.66,66.92,11.1,100.26,5.26,32.58,62.25,55.06,7.07,353.55,12.62,66.52,Moderate Need,High
48,D,Rice,Flowering,43.47,103.11,14.51,86.14,5.77,18.14,57.3,27.66,21.19,900.58,27.84,58.48,High Need,Moderate
49,A,Maize,Seedling,60.37,21.55,16.98,52.49,5.48,21.13,88.44,34.2,23.83,935.97,6.87,84.83,No/Low Need,High
50,D,Rice,Vegetative,33.21,47.29,39.33,71.63,7.24,22.91,71.73,58.14,10.95,801.17,16.46,72.15,Moderate Need,High
51,F,Maize,Flowering,50.53,20.25,67.04,64.48,5.49,23.98,87.57,16.93,24.28,164.6,10.67,79.26,No/Low Need,High
52,B,Wheat,Flowering,26.74,61.57,72.17,53.89,7.08,21.22,66.62,37.5,16.05,577.15,20.14,64.66,Moderate Need,High
53,B,Potato,Flowering,18.56,92.83,27.14,104.81,6.2,27.03,40.39,52.28,10.98,440.1,26.85,55.53,High Need,Moderate
54,A,Maize,Vegetative,59.66,99.88,50.21,68.35,5.39,19.65,62.8,43.16,20.27,785.48,7.08,55.24,No/Low Need,Moderate
55,B,Rice,Vegetative,17.94,114.52,63.79,103.27,7.31,34.5,84.32,48.67,8.09,146.77,21.28,42.72,Moderate Need,Moderate
56,E,Rice,Flowering,28.28,80.85,30.22,30.52,6.71,35.33,46.65,43.7,7.38,267.56,29.8,67.37,High Need,High
57,B,Rice,Maturity,63.31,45.46,38.63,34.1,5.81,30.63,40.47,15.94,16.76,515.82,18.39,75.67,Moderate Need,High
58,D,Rice,Flowering,32.79,112.41,46.68,117.73,7.53,19.97,54.77,32.82,10.37,234.0,18.41,47.12,Moderate Need,Moderate
59,D,Rice,Maturity,70.38,97.53,19.44,78.78,5.32,37.58,58.33,42.56,4.26,688.81,10.3,59.06,No/Low Need,Moderate
60,D,Tomato,Flowering,70.78,77.44,11.82,70.98,5.72,39.24,53.38,62.41,2.61,797.65,8.79,69.19,No/Low Need,High
61,D,Maize,Flowering,28.1,89.56,20.7,72.32,7.16,22.45,43.11,52.31,19.91,698.84,23.18,63.08,Moderate Need,High
62,E,Wheat,Vegetative,14.46,112.43,53.88,41.53,7.04,33.5,50.05,34.13,17.22,474.24,29.65,51.5,High Need,Moderate
63,C,Rice,Flowering,54.3,91.24,15.15,91.87,5.95,36.52,75.94,77.95,10.88,846.63,9.07,60.75,No/Low Need,High
64,F,Tomato,Flowering,39.06,56.84,23.28,28.48,5.36,29.88,58.16,8.62,22.51,217.03,30.32,80.26,High Need,High
65,A,Maize,Flowering,18.05,91.3,33.65,77.33,7.43,25.11,72.95,16.54,10.86,321.29,30.38,60.67,High Need,High
66,D,Rice,Vegetative,54.45,24.03,15.45,77.08,6.02,28.53,67.18,27.31,18.05,516.11,16.94,82.2,Moderate Need,High
67,B,Maize,Flowering,13.87,58.64,23.42,111.42,5.71,29.27,67.94,18.29,22.82,152.14,33.58,68.31,High Need,High
68,D,Wheat,Vegetative,64.21,60.63,73.79,72.62,6.54,26.81,49.91,50.04,21.18,181.33,0.0,58.76,No/Low Need,Moderate
69,B,Rice,Flowering,20.32,36.68,11.35,33.71,7.57,38.46,66.29,3.16,13.27,437.83,54.66,87.95,High Need,High
70,F,Wheat,Vegetative,19.64,22.31,55.74,77.28,5.31,34.37,36.42,14.19,17.34,902.3,40.77,78.31,High Need,High
71,F,Wheat,Maturity,22.54,33.34,36.91,29.13,7.19,23.31,60.9,23.47,10.93,872.15,23.85,80.45,Moderate Need,High
72,F,Rice,Vegetative,69.62,85.46,57.09,40.38,6.69,30.88,69.36,54.67,16.53,496.08,0.14,58.29,No/Low Need,Moderate
73,B,Potato,Seedling,53.59,100.23,51.21,23.11,6.31,33.15,45.92,70.07,7.18,220.83,0.9,53.7,No/Low Need,Moderate
74,D,Tomato,Vegetative,60.08,118.82,25.64,71.33,7.13,21.08,50.39,63.88,11.43,251.39,0.0,51.32,No/Low Need,Moderate
75,F,Maize,Flowering,35.86,54.64,69.3,28.45,7.71,25.89,48.17,14.57,6.03,420.91,27.54,72.97,High Need,High
76,E,Wheat,Vegetative,32.18,79.94,44.44,66.94,5.8,37.92,39.23,45.23,1.92,278.56,19.29,61.19,Moderate Need,High
77,B,Wheat,Vegetative,26.07,113.71,67.58,113.29,5.57,30.48,55.87,2.4,15.12,170.53,27.41,41.57,High Need,Moderate
78,B,Maize,Flowering,40.84,36.7,38.42,91.98,7.57,22.77,93.74,24.84,21.75,672.71,19.48,76.08,Moderate Need,High
79,D,Wheat,Vegetative,45.11,91.76,78.93,27.74,6.94,20.7,56.23,64.48,1.61,594.23,3.08,54.86,No/Low Need,Moderate
80,B,Rice,Maturity,49.91,95.5,63.93,42.42,6.34,29.4,62.63,36.53,5.7,347.6,10.73,51.98,No/Low Need,Moderate
81,B,Wheat,Maturity,27.43,28.9,77.62,87.37,6.69,30.05,74.19,12.0,12.04,762.11,25.35,65.56,High Need,High
82,F,Tomato,Flowering,68.92,106.12,46.0,109.47,7.14,25.36,73.91,35.08,16.98,759.56,8.48,48.69,No/Low Need,Moderate
83,D,Wheat,Vegetative,22.19,101.31,43.16,23.29,7.21,31.87,91.99,15.84,5.11,517.35,25.82,59.86,High Need,Moderate
84,F,Rice,Flowering,69.94,23.34,62.88,101.25,7.59,19.51,86.45,31.46,2.36,182.05,0.0,74.92,No/Low Need,High
85,F,Tomato,Seedling,12.89,29.11,71.62,76.18,6.31,21.19,82.64,39.03,13.46,880.7,20.92,66.41,Moderate Need,High
86,D,Rice,Vegetative,40.87,24.91,77.49,74.61,5.96,30.02,92.1,27.96,20.65,668.36,24.0,71.29,Moderate Need,High
87,A,Rice,Vegetative,32.0,53.47,32.72,115.78,6.86,19.36,48.85,74.96,1.85,309.99,2.03,64.55,No/Low Need,High
88,F,Rice,Maturity,38.95,70.93,65.91,94.76,6.28,37.38,72.02,45.0,9.38,618.89,20.68,53.45,Moderate Need,Moderate
89,E,Rice,Seedling,46.24,73.23,24.75,105.01,6.75,21.13,88.23,67.43,16.92,444.27,0.0,57.51,No/Low Need,Moderate
90,E,Tomato,Flowering,38.14,46.77,48.19,55.4,6.29,32.83,72.45,60.86,4.14,640.05,16.57,72.05,Moderate Need,High
91,B,Wheat,Flowering,36.89,111.16,22.59,75.44,5.6,26.61,93.65,52.89,6.66,502.79,8.53,56.41,No/Low Need,Moderate
92,E,Rice,Vegetative,55.96,56.83,34.32,81.54,6.42,26.8,41.02,39.75,13.85,512.65,13.76,66.17,Moderate Need,High
93,B,Tomato,Seedling,53.15,24.56,75.2,52.16,7.0,34.83,61.36,0.17,23.88,725.5,23.63,71.35,Moderate Need,High
94,A,Tomato,Maturity,62.0,50.02,20.23,77.02,7.28,28.99,93.64,49.08,7.9,621.67,1.92,72.73,No/Low Need,High
95,D,Tomato,Flowering,27.0,73.11,54.27,43.67,6.48,33.96,57.77,28.48,12.7,167.96,29.92,63.18,High Need,High
96,D,Rice,Flowering,48.57,60.82,51.51,34.34,5.63,29.11,79.37,9.42,10.6,155.57,20.22,72.12,Moderate Need,High
97,D,Wheat,Vegetative,47.11,47.38,18.45,57.4,6.28,31.04,36.82,35.57,22.54,359.26,16.06,75.51,Moderate Need,High
98,E,Potato,Vegetative,34.18,33.13,32.82,93.93,7.24,34.74,76.69,58.84,2.73,465.71,13.81,75.18,Moderate Need,High
99,A,Tomato,Vegetative,41.16,101.92,49.41,111.62,6.27,31.36,91.08,76.93,14.59,333.94,0.46,46.02,No/Low Need,Moderate
100,E,Rice,Seedling,30.83,119.61,23.1,65.77,7.01,31.54,57.96,29.93,21.31,653.74,23.86,48.71,Moderate Need,Moderate
101,E,Rice,Seedling,20.51,52.95,66.04,84.28,6.52,35.36,36.28,43.42,24.71,265.84,23.45,58.14,Moderate Need,Moderate
102,A,Wheat,Maturity,24.83,58.16,78.05,30.3,5.83,38.88,36.67,68.1,17.77,698.52,20.18,64.88,Moderate Need,High
103,A,Potato,Vegetative,18.33,81.8,25.03,110.45,7.27,26.29,88.52,26.72,10.12,757.18,29.92,59.14,High Need,Moderate
104,A,Wheat,Vegetative,52.98,91.84,23.08,76.86,5.42,30.7,78.35,11.38,10.88,205.67,12.59,61.55,Moderate Need,High
105,A,Wheat,Flowering,51.64,59.2,41.85,98.03,6.56,19.9,41.4,22.55,9.44,653.19,16.83,63.5,Moderate Need,High
106,D,Rice,Flowering,69.04,110.49,62.34,99.44,5.74,25.89,38.28,71.93,15.49,917.22,3.28,46.03,No/Low Need,Moderate
107,C,Maize,Seedling,55.78,76.0,29.71,45.65,5.37,27.07,83.29,12.75,18.75,263.9,8.03,66.37,No/Low Need,High
108,C,Tomato,Flowering,15.12,65.04,11.39,72.92,6.51,36.38,83.59,26.34,20.67,872.91,49.19,69.93,High Need,High
109,A,Wheat,Seedling,65.05,84.67,47.89,116.05,6.5,29.29,42.23,37.17,11.0,615.14,6.87,47.36,No/Low Need,Moderate
110,C,Tomato,Seedling,63.76,115.28,76.96,28.96,7.04,34.08,53.09,67.77,18.2,602.3,3.17,44.94,No/Low Need,Moderate
111,C,Potato,Seedling,38.6,99.46,37.39,88.3,7.14,18.42,81.8,75.02,22.99,144.13,0.0,50.41,No/Low Need,Moderate
112,A,Rice,Maturity,47.15,24.0,39.41,116.23,7.09,28.22,66.52,34.06,23.1,736.06,19.25,72.14,Moderate Need,High
113,C,Wheat,Seedling,70.56,53.23,77.82,50.06,6.26,37.83,92.4,74.56,17.9,506.53,0.0,60.91,No/Low Need,High
114,E,Rice,Seedling,43.94,67.05,58.62,106.14,6.84,22.93,63.86,12.92,16.29,713.0,19.27,53.62,Moderate Need,Moderate
115,B,Tomato,Vegetative,66.32,51.45,60.34,113.37,6.7,18.69,75.62,12.55,13.76,787.8,11.86,59.87,No/Low Need,Moderate
116,B,Maize,Maturity,16.98,90.02,49.39,94.71,6.3,27.53,65.59,75.94,5.4,545.23,11.96,50.24,No/Low Need,Moderate
117,A,Maize,Vegetative,23.46,102.63,78.22,43.13,6.75,33.5,91.58,40.77,3.97,324.1,18.61,48.9,Moderate Need,Moderate
118,D,Tomato,Vegetative,38.45,93.13,58.22,53.4,7.66,28.0,58.92,14.87,12.66,220.34,22.32,57.95,Moderate Need,Moderate
119,A,Wheat,Seedling,47.09,118.93,72.65,23.58,5.7,28.12,48.79,39.04,4.83,236.43,6.4,46.24,No/Low Need,Moderate
120,D,Potato,Vegetative,60.97,47.25,58.96,103.15,7.56,32.74,54.6,62.66,14.85,836.89,9.54,66.13,No/Low Need,High
121,B,Wheat,Flowering,71.3,107.5,61.46,104.96,5.34,23.6,86.17,66.15,16.5,205.04,0.0,48.08,No/Low Need,Moderate
122,A,Rice,Flowering,35.33,96.66,30.33,83.27,6.0,34.54,64.88,69.12,13.61,426.99,15.74,57.12,Moderate Need,Moderate
123,F,Maize,Vegetative,14.84,56.22,31.24,55.25,5.95,21.37,56.26,45.57,1.87,384.13,19.05,71.96,Moderate Need,High
124,E,Tomato,Vegetative,60.07,93.41,64.81,27.68,6.83,26.71,67.66,69.36,2.39,835.64,1.44,56.44,No/Low Need,Moderate
125,C,Rice,Seedling,48.26,30.41,30.77,95.31,5.54,32.43,42.99,40.8,3.72,506.04,13.55,74.13,Moderate Need,High
126,D,Tomato,Vegetative,23.91,98.93,49.39,92.65,7.49,36.22,35.32,48.56,4.69,946.98,37.12,52.29,High Need,Moderate
127,F,Potato,Seedling,41.69,73.23,27.45,111.26,7.35,35.41,51.84,60.7,24.76,726.5,13.9,58.67,Moderate Need,Moderate
128,C,Rice,Flowering,56.54,49.23,67.19,93.05,6.9,33.88,71.3,34.03,9.27,823.29,24.01,64.09,Moderate Need,High
129,C,Potato,Maturity,58.22,85.58,17.74,102.87,6.39,25.9,77.7,5.89,8.01,183.87,9.16,56.02,No/Low Need,Moderate
130,A,Rice,Maturity,41.98,84.16,68.06,94.6,7.63,20.69,84.6,28.01,2.25,315.14,8.31,52.49,No/Low Need,Moderate
131,C,Rice,Maturity,30.31,40.95,52.19,83.07,7.36,22.77,90.6,49.92,16.25,215.13,6.93,69.47,No/Low Need,High
132,E,Rice,Flowering,70.42,23.04,23.08,62.7,6.5,37.03,59.73,15.39,16.65,494.08,22.19,82.45,Moderate Need,High
133,F,Tomato,Flowering,51.8,63.36,47.94,110.21,7.02,36.86,79.43,11.87,5.21,710.54,31.12,61.45,High Need,High
134,C,Maize,Vegetative,36.49,76.95,29.77,85.1,6.67,38.93,39.48,23.45,23.06,243.7,28.27,60.49,High Need,High
135,A,Rice,Flowering,28.83,107.66,32.64,59.84,6.73,19.67,38.45,2.57,20.21,210.64,36.58,54.91,High Need,Moderate
136,E,Wheat,Vegetative,55.87,112.82,34.61,28.35,6.06,29.81,42.49,59.47,6.53,622.42,7.18,56.03,No/Low Need,Moderate
137,B,Maize,Vegetative,26.53,72.88,14.43,49.07,6.4,32.27,61.91,20.7,12.66,295.77,26.67,68.59,High Need,High
138,F,Rice,Flowering,22.3,95.38,79.02,74.37,5.4,33.63,47.68,9.94,12.0,507.43,51.39,52.23,High Need,Moderate
139,C,Tomato,Vegetative,43.79,63.93,12.21,47.56,6.13,32.16,52.22,55.93,9.36,143.45,8.07,73.12,No/Low Need,High
140,A,Tomato,Vegetative,29.4,94.61,56.37,42.12,7.01,34.94,73.87,67.43,20.62,678.52,19.82,56.56,Moderate Need,Moderate
141,B,Wheat,Maturity,49.73,40.48,35.99,72.74,7.68,25.91,56.51,1.59,3.62,560.12,17.5,75.06,Moderate Need,High
142,B,Potato,Seedling,19.08,57.11,55.22,36.98,7.7,21.95,68.44,18.69,10.97,650.31,21.38,69.15,Moderate Need,High
143,D,Wheat,Vegetative,51.3,83.42,34.94,100.04,6.64,22.5,59.74,75.62,11.27,334.1,0.0,55.57,No/Low Need,Moderate
144,E,Potato,Maturity,29.0,21.82,57.16,68.44,6.78,18.26,45.14,30.82,12.25,336.81,15.6,74.14,Moderate Need,High
145,C,Maize,Flowering,12.01,92.25,61.05,77.39,5.68,25.71,39.44,75.09,21.67,781.16,27.28,54.98,High Need,Moderate
146,A,Maize,Flowering,19.62,103.55,58.34,34.74,7.01,20.02,49.17,21.94,6.24,710.78,34.01,55.73,High Need,Moderate
147,D,Rice,Vegetative,68.02,59.91,17.98,52.46,5.38,25.07,38.46,17.45,3.47,592.77,15.13,75.78,Moderate Need,High
148,E,Tomato,Vegetative,64.04,64.79,55.98,61.01,5.94,31.82,72.12,17.13,15.83,633.92,17.49,64.11,Moderate Need,High
149,D,Wheat,Maturity,26.02,105.13,29.6,100.82,6.94,37.68,82.74,6.82,5.17,179.94,22.21,49.19,Moderate Need,Moderate
150,F,Rice,Flowering,58.7,97.57,12.02,97.02,6.01,36.47,55.38,71.71,2.8,827.75,10.96,58.43,No/Low Need,Moderate
151,E,Rice,Flowering,48.51,48.81,39.04,42.3,5.33,23.56,58.23,78.39,11.24,754.42,3.48,78.46,No/Low Need,High
152,E,Maize,Seedling,70.25,52.4,40.35,81.62,7.36,20.95,83.97,76.36,6.27,601.92,0.0,66.61,No/Low Need,High
153,C,Wheat,Seedling,34.42,87.89,42.7,44.35,6.01,22.25,48.36,68.16,9.67,880.81,8.64,57.83,No/Low Need,Moderate
154,E,Maize,Maturity,52.89,76.32,59.34,118.82,5.36,39.36,42.15,67.75,7.23,243.34,5.46,53.7,No/Low Need,Moderate
155,D,Tomato,Vegetative,15.81,36.22,31.62,115.21,5.39,30.09,65.07,52.89,3.22,683.66,27.29,73.33,High Need,High
156,E,Rice,Flowering,35.77,50.99,32.07,76.33,5.85,22.02,73.77,66.1,14.45,918.53,16.05,72.85,Moderate Need,High
157,C,Maize,Seedling,69.83,110.0,14.24,89.89,5.66,36.5,70.98,16.67,1.65,363.51,7.59,51.81,No/Low Need,Moderate
158,C,Rice,Flowering,44.34,88.82,58.08,100.14,7.21,26.69,77.83,31.03,24.19,113.0,13.14,53.45,Moderate Need,Moderate
159,F,Tomato,Maturity,29.27,118.6,49.75,92.1,6.04,37.78,38.41,51.27,9.19,724.64,26.45,42.38,High Need,Moderate
160,D,Tomato,Flowering,19.22,96.7,34.46,89.98,7.29,23.73,60.69,69.98,17.68,105.93,10.19,56.72,No/Low Need,Moderate
161,B,Wheat,Seedling,54.21,114.2,59.36,115.86,5.65,26.65,49.31,52.84,20.45,841.65,8.06,39.27,No/Low Need,Moderate
162,B,Maize,Flowering,50.69,41.62,47.62,79.65,6.48,29.11,80.55,67.12,7.7,147.86,0.0,70.13,No/Low Need,High
163,E,Rice,Flowering,34.44,97.15,42.85,83.63,6.99,37.64,87.36,37.92,18.97,654.85,33.25,54.62,High Need,Moderate
164,F,Wheat,Vegetative,69.06,22.02,45.79,104.93,6.9,37.11,51.88,57.38,20.98,420.61,3.94,73.72,No/Low Need,High
165,A,Tomato,Maturity,13.33,87.08,54.54,86.99,6.76,30.64,40.71,78.4,6.79,272.84,14.6,51.42,Moderate Need,Moderate
166,E,Wheat,Flowering,30.22,66.93,56.2,93.29,7.6,22.88,50.21,12.28,24.82,863.52,34.79,63.17,High Need,High
167,F,Wheat,Maturity,67.26,54.68,30.23,43.42,5.79,26.87,41.24,74.15,1.5,734.31,0.0,73.19,No/Low Need,High
168,D,Wheat,Flowering,31.26,106.24,19.85,57.13,6.48,39.46,54.35,41.79,6.21,389.37,24.82,57.15,Moderate Need,Moderate
169,D,Tomato,Seedling,27.14,105.43,20.96,34.73,7.5,31.37,67.29,51.46,19.72,341.53,13.43,59.32,Moderate Need,Moderate
170,D,Rice,Vegetative,44.05,22.23,54.76,70.58,5.4,35.18,93.42,70.23,5.66,725.61,9.62,78.96,No/Low Need,High
171,D,Rice,Vegetative,61.43,80.95,71.1,65.57,5.35,27.9,58.96,32.77,17.76,811.09,17.5,58.03,Moderate Need,Moderate
172,D,Maize,Maturity,18.19,56.78,38.66,119.72,5.81,29.7,48.2,33.5,21.53,708.47,28.6,61.77,High Need,High
173,F,Tomato,Flowering,68.58,61.57,21.87,81.12,6.85,27.44,45.01,42.17,24.02,643.99,10.5,69.53,No/Low Need,High
174,F,Rice,Flowering,59.7,103.2,62.96,98.64,5.88,33.46,45.38,1.53,12.38,293.74,29.07,47.79,High Need,Moderate
175,C,Rice,Vegetative,22.88,50.98,68.27,53.4,5.69,36.73,46.56,39.73,24.31,824.88,43.07,68.23,High Need,High
176,B,Rice,Vegetative,54.72,114.3,71.64,103.15,6.39,29.16,80.74,23.29,10.88,737.21,19.83,38.59,Moderate Need,Moderate
177,D,Rice,Flowering,35.1,37.96,52.48,81.51,6.8,28.58,38.66,74.24,6.24,539.68,14.88,71.33,Moderate Need,High
178,A,Wheat,Vegetative,36.14,86.27,70.25,89.7,5.85,25.49,94.84,7.02,13.33,534.85,20.44,51.58,Moderate Need,Moderate
179,F,Maize,Vegetative,59.0,87.21,11.08,49.44,5.98,21.9,66.36,36.75,16.6,583.8,6.69,66.25,No/Low Need,High
180,A,Maize,Flowering,69.77,45.22,17.51,74.86,6.8,38.66,67.66,75.8,11.99,804.03,2.71,76.09,No/Low Need,High
181,A,Maize,Seedling,19.6,52.48,16.48,83.4,7.66,24.95,56.45,72.08,14.61,730.92,12.26,71.87,Moderate Need,High
182,A,Wheat,Vegetative,37.24,103.48,59.88,78.91,6.95,35.62,76.42,56.11,10.99,827.81,17.52,48.44,Moderate Need,Moderate
183,C,Tomato,Vegetative,40.86,96.18,14.87,111.52,7.24,33.74,63.29,47.15,13.59,531.19,18.68,56.12,Moderate Need,Moderate
184,F,Wheat,Seedling,34.58,52.91,44.75,109.83,6.15,35.4,54.74,22.46,23.86,630.95,19.84,60.23,Moderate Need,High
185,A,Potato,Maturity,33.79,73.4,43.09,117.1,5.91,38.61,50.91,29.36,13.0,826.39,30.19,55.56,High Need,Moderate
186,D,Maize,Vegetative,15.14,26.17,31.75,86.74,6.38,31.71,90.54,7.21,7.08,297.47,31.22,75.98,High Need,High
187,E,Rice,Seedling,53.13,40.87,70.93,117.19,7.3,37.75,52.46,62.89,19.21,477.42,8.71,60.29,No/Low Need,High
188,A,Maize,Vegetative,38.17,68.58,21.93,103.25,6.39,21.69,61.18,25.91,9.1,627.55,19.11,62.16,Moderate Need,High
189,C,Rice,Flowering,23.69,28.6,34.67,47.08,7.4,31.79,56.02,53.42,20.59,877.87,38.66,84.06,High Need,High
190,F,Maize,Vegetative,60.96,104.33,64.19,62.74,7.77,34.99,40.17,28.61,2.36,113.46,10.18,52.61,No/Low Need,Moderate
191,C,Rice,Flowering,60.15,91.8,12.13,43.84,5.39,23.98,46.16,37.15,8.97,280.69,6.0,69.12,No/Low Need,High
